Date,Name,Team,Opp,score1,score2,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,Fantasy,Estimated_MP_3,Estimated_score1,mean_FG,mean_FGA,mean_FT,mean_FTA,mean_ORB,mean_DRB,mean_AST,mean_STL,mean_BLK,mean_TOV,mean_PF,mean_PTS,mean_+-,Opp_Fantasy_Granted,prediction
20200114,De'Andre Hunter,Atl,Pho,123,110,24.12,6,12,0.5,1,3,0.333,2,2,1.0,2,1,3,0,0,0,0,5,15,8,13.45,24.296666666666667,100.66666666666667,3.1533636166991137,7.800425788676755,0.5808827714972051,0.8298325307102931,0.1659665061420586,1.9915980737047032,1.078782289923381,0.4978995184261758,0.0829832530710293,1.5766818083495568,1.8256315675626449,8.049375547889841,-8.215342054031902,143.975,8.709800057549545
20200114,Cam Reddish,Atl,Pho,123,110,23.03,1,5,0.2,0,1,0.0,2,2,1.0,0,0,0,2,0,0,1,5,4,18,3.4499999999999997,27.44333333333333,100.66666666666667,2.7735624141594752,8.854064629816786,1.3867812070797376,1.600132162015082,0.5333773873383607,2.8802378916271474,2.0268340718857707,1.4934566845474098,0.7467283422737049,1.2801057296120655,1.9201585944180983,7.893985332607738,-6.507204125528,143.975,12.934558294778983
20200114,Damian Jones,Atl,Pho,123,110,26.53,5,7,0.7140000000000001,0,0,0.0,1,1,1.0,2,4,6,2,0,1,2,3,11,14,18.1,9.35,100.66666666666667,0.764721919302072,1.4444747364594692,0.8496910214467467,0.8496910214467467,0.8496910214467467,1.529443838604144,0.254907306434024,0.16993820428934933,0.509814612868048,0.08496910214467467,1.3595056343147947,2.3791348600508906,-5.183115230825155,143.975,5.152723694669451
20200114,DeAndre' Bembry,Atl,Pho,123,110,22.13,2,4,0.5,1,1,1.0,0,0,0.0,0,1,1,1,0,2,1,1,5,-10,7.0,15.969999999999999,100.66666666666667,2.0477939033630586,4.654077053097861,0.18616308212391441,0.37232616424782883,0.18616308212391441,2.420120067610888,1.1169784927434867,1.210060033805444,0.18616308212391441,1.3962231159293583,1.9547123623011016,4.654077053097861,-4.0025062656641595,143.975,7.958954786209217
20200114,Allen Crabbe,Atl,Pho,123,110,16.48,1,3,0.333,0,1,0.0,0,0,0.0,1,3,4,1,0,1,0,1,2,4,7.35,18.566666666666666,100.66666666666667,1.9591980302497363,5.551061085707587,0.2176886700277485,0.32653300504162275,0.10884433501387425,2.0680423652636106,1.1972876851526166,0.6530660100832455,0.0,0.5442216750693711,1.8503536952358621,5.551061085707587,-6.312971430804706,143.975,6.56993233282344
20200114,Brandon Goodwin,Atl,Pho,123,110,12.45,2,5,0.4,1,2,0.5,0,0,0.0,0,2,2,1,0,1,2,1,5,-11,4.35,20.973333333333333,100.66666666666667,4.033610367012386,9.651853378208209,1.1524601048606817,1.1524601048606817,0.4321725393227557,2.593035235936534,2.593035235936534,1.1524601048606817,0.28811502621517043,1.296517617968267,2.593035235936534,10.80431348306889,-6.33853057673375,143.975,12.624753107280045
20200114,Vince Carter,Atl,Pho,123,110,8.54,0,2,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,1,0,0,0,-5,1.0,10.89,100.66666666666667,0.4777712781515063,2.786999122550453,0.3185141854343375,0.3185141854343375,0.15925709271716876,1.4333138344545189,0.7166569172272594,0.3185141854343375,0.39814273179292187,0.39814273179292187,1.1944281953787657,1.5925709271716875,-1.5925709271716875,143.975,5.02503644821252
20200114,Rudy Gobert,Uta,Bkn,118,107,36.33,9,12,0.75,0,0,0.0,4,6,0.667,4,14,18,3,1,2,0,3,22,11,43.15,30.793333333333333,121.33333333333333,5.4803784890101745,8.129228092031758,2.2834910370875723,4.0189442252741285,3.3795667348896075,10.504058770602834,1.5527739052195495,0.6393774903845203,1.918132471153561,1.3700946222525436,2.83152888598859,13.244248015107921,11.234775902470856,149.8,24.914397559101786
20200114,Donovan Mitchell,Uta,Bkn,118,107,36.21,8,19,0.421,3,7,0.429,6,6,1.0,0,0,0,4,1,0,3,3,25,20,24.75,27.25,121.33333333333333,6.462385926993275,13.660993035542749,2.535872958693564,3.026687079731028,0.24540706051873198,2.617675312199808,5.235350624399616,0.81802353506244,0.163604707012488,1.9632564841498559,2.126861191162344,17.096691882804993,7.689421229586935,149.8,20.08214887001757
20200114,Bojan Bogdanović,Uta,Bkn,118,107,32.25,8,16,0.5,2,7,0.28600000000000003,0,0,0.0,0,2,2,0,1,0,2,1,18,5,16.25,29.113333333333333,121.33333333333333,5.959459175746887,14.027650059834981,4.859251327916693,5.225987277193425,0.6417879112342801,2.750519619575486,1.7419957590644748,0.4584199365959144,0.09168398731918288,2.292099682979572,1.558627784426109,18.70353341311331,10.727026516344397,149.8,19.64394018970642
20200114,Royce O'Neale,Uta,Bkn,118,107,31.58,0,5,0.0,0,3,0.0,0,0,0.0,0,6,6,4,0,1,1,3,0,5,6.5,27.266666666666666,121.33333333333333,2.113125322910349,3.950625603701957,0.36750005615832154,0.36750005615832154,0.36750005615832154,4.77750073005818,1.8375002807916077,0.5512500842374823,0.27562504211874117,0.6431250982770627,2.38875036502909,5.971875912572726,10.106251544353844,149.8,10.456040577792658
20200114,Joe Ingles,Uta,Bkn,118,107,29.57,10,14,0.7140000000000001,6,8,0.75,1,1,1.0,0,3,3,5,1,0,1,0,27,9,34.85,26.820000000000004,121.33333333333333,4.837257238558409,9.760894070662506,1.0365551225482306,1.2093143096396022,0.17275918709137175,2.850526587007634,4.923636832104095,0.691036748365487,0.17275918709137175,1.0365551225482306,1.1229347160939165,13.907114560855428,10.970208380302106,149.8,16.558232040809166
20200114,Jordan Clarkson,Uta,Bkn,118,107,25.44,6,13,0.462,1,5,0.2,0,0,0.0,1,2,3,1,0,0,1,3,13,-5,10.0,27.713333333333335,121.33333333333333,6.982041343669251,14.178914728682171,1.6112403100775194,2.470568475452197,0.7519121447028424,1.6112403100775194,1.3964082687338502,0.6444961240310078,0.5370801033591731,0.9667441860465117,1.826072351421189,18.260723514211886,4.7263049095607235,149.8,16.791154236662877
20200114,Georges Niang,Uta,Bkn,118,107,16.02,1,5,0.2,0,3,0.0,0,0,0.0,1,1,2,0,0,0,0,0,2,6,2.65,18.77333333333333,121.33333333333333,3.384760678257136,7.253058596265292,0.2417686198755097,0.2417686198755097,0.3626529298132645,2.538570508692852,0.846190169564284,0.3626529298132645,0.12088430993775486,0.12088430993775486,1.2088430993775485,9.791629104958142,-0.12088430993775486,149.8,9.409311029304193
20200114,Emmanuel Mudiay,Uta,Bkn,118,107,15.34,3,6,0.5,1,3,0.333,0,0,0.0,0,1,1,2,1,0,0,0,7,4,10.85,27.74,121.33333333333333,5.778886681846809,10.617024368974372,1.0751417082505692,1.6127125623758538,0.6719635676566058,3.359817838283029,4.166174119470956,0.6719635676566058,0.13439271353132115,1.747105275907175,1.3439271353132116,13.439271353132115,-2.419068843563781,149.8,17.114593307446135
20200114,Tony Bradley,Uta,Bkn,118,107,11.27,1,2,0.5,0,0,0.0,2,2,1.0,1,5,6,0,3,0,0,2,4,0,13.25,12.896666666666667,121.33333333333333,2.4821739528915767,3.664161549506614,0.5909937983075184,1.1819875966150368,2.2457764335685697,2.9549689915375916,0.4727950386460147,0.23639751932300734,0.5909937983075184,0.9455900772920294,3.0731677511990956,5.555341704090672,0.11819875966150367,149.8,9.118074597136442
20200114,Spencer Dinwiddie,Bkn,Uta,107,118,36.25,7,17,0.412,2,5,0.4,1,5,0.2,3,1,4,5,0,0,4,2,17,-13,12.8,31.80333333333333,109.33333333333333,7.370998296134022,18.679927188832796,6.058354763945771,8.683641828322273,0.7068080557936733,3.735985437766559,7.16905313733583,0.504862896995481,0.2019451587981924,3.433067699569271,2.8272322231746934,22.415912626599354,-1.7165338497846354,127.525,25.452204036435667
20200114,Joe Harris,Bkn,Uta,107,118,33.35,5,10,0.5,1,5,0.2,2,2,1.0,1,0,1,1,1,0,0,3,13,-8,11.8,31.30666666666666,109.33333333333333,4.498909476344807,11.199412951751968,1.627265129741739,2.297315477282455,0.957214782201023,3.828859128804092,2.4887584337226594,0.7657718257608183,0.2871644346603069,1.3401006950814323,1.914429564402046,12.5395136468334,0.8614933039809206,127.525,14.584275964201153
